id_number,channel,group_name,prov,city,comp_rate,quiz
jliao,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.692,91.96
jlilak,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.9,95.39
jlindsay,Care,Windsor,,,0.5,100
jlok,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.818,97.14
jmacdonnell,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.895,97.11
jmalu,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.951,92.9
jmarchenkowsky,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.85,84.99
jmartire,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.8,94.1
jmathews,Care,Windsor,,,1,82.79
jmccauley,Care,Windsor,,,0.5,60
jmeloche,Care,Windsor,,,1,97.59
jmerritt,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.917,93.35
jmitchell,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.905,92.28
jnguyen3,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.75,98
jolfert,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.75,97.77
jolsen,Dealer-retail,DEALON03,Ontario,,0.95,89.74
jondaatje,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,0.824,89.95
joneil,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.947,92.23
jparmar,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.913,98.46
jpatel,Corp-retail,CORPON03-ON Central,Ontario,Markham,1,96.67
jphan2,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.889,93.01
jpinnace,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.97,90.7
jpitts,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.898,75.75
jpremachandran,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.929,91.89
jprocee,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,0.923,95.48
jrasalingam,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.951,85.5
jreen,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.75,100
jrivers,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.932,90.58
jruxton,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.909,91.93
jsahl,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.967,90.63
jsalvo,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.926,94.22
jsamuel,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.869,84.65
jsangha,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.923,98
jsavoy,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.733,86.41
jsewerniuk,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.98,81.55
jsingh2,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.5,85
jsitu,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,0.8,95.71
jspence,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.894,85.54
jspencer,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.964,90.44
jtang,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.864,92.81
jtay,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.951,90.7
jtestman,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,60
jthomas,Care,Windsor,,,0.588,
jtrauzzi,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.667,83.75
jtyerman,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.911,88.72
judsen,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.938,96.76
jvijayarajan,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.938,91.76
jvo,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.778,94.6
jvo2,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.923,95.39
jvokey,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,1,95.22
jwarner,Care,Windsor,,,0.867,97.17
jwilson,Dealer-retail,DEALON02,Ontario,,0.633,79.39
jxiang,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.818,89.49
kantonio,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.333,98.57
kasare,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.94,85.77
katkins,Care,Windsor,,,0.857,86.12
kbenard,Care,Windsor,,,0.96,96.32
kbenons,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,0.846,95.94
kbremner,Care,Windsor,,,1,100
kbremner4,Care,Windsor,,,0.909,84.16
kcampbell,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.85,95.69
kcampbell2,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.824,100
kchouinard,Care,Windsor,,,1,98.33
kcolasanti,Care,Windsor,,,0.842,84.36
kdang,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.946,88.67
kdearing,Care,Windsor,,,0.667,84.59
kdesjardins,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.906,85.56
kduque,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.84,86
keid,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.94,85.34
kfigueira,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.813,86.98
kgerma,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.917,89.4
kgoel,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.966,84.47
kgrosse,Care,Windsor,,,1,94.19
khicks,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.871,86.41
kiampen,Dealer-retail,DEALCA01,Alberta,,0.2,90.09
kkanagharatnam,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.913,89.63
kkazemi,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.933,90.27
kkhonje,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.923,97.52
kkim,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.943,89.82
kkipusi,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.917,96.51
klayne,Corp-retail,CORPON03-ON Central,Ontario,Woodbridge,0.364,91.11
klewis,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.929,100
kly,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.667,96.11
kmahey,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.85,93.9
kmann,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.765,86.91
kmcandrew,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.963,95.44
kmccrea,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.895,95
kmckinney,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.909,90.57
kmiller,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.977,85.36
knkubito,Care,Windsor,,,1,75.76
kpeace,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.933,97.52
kquach,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.923,99.47
kquirion,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.444,82.59
kreid,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.875,93.85
krog,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.875,94.82
krogers,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.933,96.51
ksandhu,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.9,96.16
ksazmand,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.926,89.64
kscott,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.944,94.49
kselvarasa,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.857,93.33
kshihabi,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.902,95.31
ksubramaniam,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.941,92.18
ktawadros,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.972,97.23
ktu,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.929,98.07
kuddin,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.902,88.73
kupham,Care,Windsor,,,0.909,87.28
kwendover,Care,Windsor,,,0.867,90.93
kwilliams,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.949,94.53
lbeneteau,Care,Windsor,,,0.933,96.07
lcesmeci,Care,Windsor,,,1,89.25
lchabot,Care,Windsor,,,0.957,96.15
lcunial,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.824,91.01
ldecruiz,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.786,87.43
ldeniselin,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.75,100
lespinal,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.903,84.15
lfleming,Corp-retail,CORPON03-ON Central,Ontario,North York,0.917,98.34
lgibbons,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.854,93.47
lguevara,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.938,96.67
lhua,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.931,84.95
lisaac,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.96,91.74
ljeffries,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.981,83.88
ljeyan,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.833,90.79
lkabbani,Care,Windsor,,,0.8,80.55
llacasse,Care,Windsor,,,1,93.74
llaw,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.933,99.33
llimbombe,Care,Windsor,,,1,98.46
lmallen,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,1,96.09
lmohamed,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.957,90.49
lnguyen3,Corp-retail,CORPON03-ON Central,Ontario,Vaughan,1,91.11
lparsons,Care,Windsor,,,0.846,82.05
lpascual,Care,Windsor,,,0.952,91.29
lphan,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.882,87.38
lprodigalidad,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.667,91.1
lpruden,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,0.923,98.81
lreceveur,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.919,94.38
lsantos,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.917,93.39
lsantos2,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.889,91.41
lsiddiq,Care,Windsor,,,0.931,87.76
lwilton,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.778,87.5
maali,Care,Windsor,,,1,100
mabrams,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.909,90.3
mahdsingh,Dealer-retail,DEALCA01,Alberta,,0.889,76.54
mahfbutt,Dealer-retail,DEALCA01,Alberta,,1,87.5
mahhbhandal,Dealer-retail,DEALCA01,Alberta,,0.895,78.82
mahmadi,Care,Windsor,,,1,96.23
mahrdoshi,Dealer-retail,DEALCA01,Alberta,,0.946,87.34
mahsparhar,Dealer-retail,DEALCA01,Alberta,,0.75,77.5
mahszeng,Dealer-retail,DEALCA01,Alberta,,0.688,81.56
mahwparhar,Dealer-retail,DEALCA01,Alberta,,0.971,87.82
malexander,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.947,94.14
mali,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.957,87.91
malves,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.901,93.35
manhorn,Care,Windsor,,,1,95.39
mansari,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.5,100
marif,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.941,96.66
mbasimmustafa,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.933,87.56
mblack,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.868,94.31
mbond,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.921,93.96
mbondy,Care,Windsor,,,0.941,93.59
mbotros,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.938,91.66
mbrown2,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.857,88
mbrunato,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.792,95.11
mbutt,Care,Windsor,,,0.867,94.09
mbuttigieg,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.867,93.39
mchal,Dealer-retail,DEALVA01,BC,,0.714,87.5
mchamberlin,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.867,94.87
mchbt,Dealer-retail,DEALVA01,BC,,0.882,87.91
mchcl,Dealer-retail,DEALVA01,BC,,0.925,84.81
mchew,Dealer-retail,DEALVA01,BC,,0.912,80.43
mchflow,Dealer-retail,DEALVA01,BC,,0.857,92.09
mchfn,Dealer-retail,DEALVA01,BC,,0.933,84.29
mchhn,Dealer-retail,DEALVA01,BC,,0.914,81.39
mchhs,Dealer-retail,DEALVA01,BC,,0.909,74.06
mchjp,Dealer-retail,DEALVA01,BC,,0.867,93.17
mchjw,Dealer-retail,DEALVA01,BC,,0.846,82.59
mchkt,Dealer-retail,DEALVA01,BC,,0.9,90.94
mchlh,Dealer-retail,DEALVA01,BC,,0.875,89.86
mchmchou,Dealer-retail,DEALVA01,BC,,0.893,97.78
mchnp,Dealer-retail,DEALVA01,BC,,0.927,85.56
mchrl,Dealer-retail,DEALVA01,BC,,0.857,87.83
mchsa,Dealer-retail,DEALVA01,BC,,0.88,85.09
mchtp,Dealer-retail,DEALVA01,BC,,0.88,88.45
mciganovic,Care,Windsor,,,1,96.75
mciganovic2,Care,Windsor,,,0.962,98.61
mcompas,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.956,99.61
mcorredor,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.966,93.08
mcruz,Care,Windsor,,,1,96.41
mdiza,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.917,93.59
mdoumet,Care,Windsor,,,1,99.23
mdunn,Care,Windsor,,,0.941,90.6
measter,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.948,84.8
meffiom,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.865,93.1
mfarhadian,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.966,93.13
mfatima,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,1,86.4
MFigueiredo,Care,Windsor,,,1,86.67
mfurlotte,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.923,87.87
mgahagan,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.975,86.07
mglaves,Care,Windsor,,,1,96.67
mgreen,Care,Windsor,,,0.947,99.06
minkster,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.936,83.75
mison,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.909,100
mjabou,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.778,98.81
mjafari,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.8,96
mjones,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,1,91.16
mkakous,Care,Windsor,,,0.938,92.83
mkamal,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.75,92
mkehoe,Care,Windsor,,,0.923,91.88
mkhalil,Care,Windsor,,,0.92,91.98
mkhan,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.714,96.39
mkovac,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.962,87.02
mli,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.8,84.5
mmacdonald,Care,Windsor,,,0.8,65.47
mmalik,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.976,91.85
mmamman,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.972,89.3
mmarek,Care,Windsor,,,0.929,92.73
mmastrofrancesco,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,1,92.03
mmclaren,Corp-retail,CORPON03-ON Central,Ontario,North York,0.947,94.73
mmeaver,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.938,94.67
mmehta,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.947,89.83
mmeloche,Care,Windsor,,,1,94.91
mmo,Corp-retail,CORPON03-ON Central,Ontario,Vaughan,1,88.85
mmohamud2,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.977,83.32
mnajdi,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.889,95.56
mobahusain,Dealer-retail,DEALON03,Ontario,,0.789,90.95
mobhkaur,Dealer-retail,DEALON03,Ontario,,0.667,89.43
mobhsingh,Dealer-retail,DEALON03,Ontario,,0.889,97.89
mobiguirguis1,Dealer-retail,DEALON03,Ontario,,0.667,93
mobnhanna,Dealer-retail,DEALON03,Ontario,,0.778,84.76
mobskedar,Dealer-retail,DEALON03,Ontario,,0.7,91.67
mobssharma,Dealer-retail,DEALON03,Ontario,,0.7,88.88
mpascua,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.967,94.44
mpenny,Care,Windsor,,,1,90.89
mpepin,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,0.938,91.67
mponneshakumaran,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.947,96.31
mpopalzai,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.909,92.63
mqarizada,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.875,91.46
mramirez,Corp-retail,CORPON03-ON Central,Ontario,North York,0.75,95
mrivas,Care,Windsor,,,1,98.46
mrosete,Care,Windsor,,,0.813,83.51
mrotondi,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.867,90.56
msabatino,Corp-retail,CORPON03-ON Central,Ontario,Woodbridge,0.833,90.33
msajeed,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.882,97.34
msarty,Care,Windsor,,,0.667,97.14
msatoskar,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.9,76.26
mselveswaran,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.889,93.89
mshah,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.833,94.67
msharma2,Care,Windsor,,,1,
msharoubim,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.85,90.1
mshaw,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.765,85.56
mshoaib2,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.917,96.92
mshoaib3,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.765,81.32
msomani,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.883,89.06
msoomro,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.908,91.02
mstinson,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.917,96.74
mstpierre,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,1,87.99
msuggitt,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.5,90
msyms,Care,Windsor,,,1,95
mtafere,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.958,85.78
mtaj,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.943,87.74
mtep,Care,Windsor,,,0.895,95.65
mterkawi,Care,Windsor,,,0.933,90.43
mtomboc,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.974,87.69
mturner,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.851,84.31
mvasquez,Corp-retail,CORPON03-ON Central,Ontario,North York,0.5,72
mvelagic,Care,Windsor,,,1,97.78
mvu2,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.962,95.28
mwang,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.833,99.26
mwatson,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.8,98.06
myfam,Dealer-retail,DEALON02,Ontario,,0.955,90.28
myfamangat,Dealer-retail,DEALON02,Ontario,,0.947,97.14
myfav,Dealer-retail,DEALON02,Ontario,,0.882,98.67
myffa,Dealer-retail,DEALON02,Ontario,,0.84,89.98
myfis,Dealer-retail,DEALON02,Ontario,,0.923,94.6
myfjl,Dealer-retail,DEALON02,Ontario,,0.978,89.81
myfma,Dealer-retail,DEALON02,Ontario,,0.929,96.39
myfmsharma,Dealer-retail,DEALON02,Ontario,,0.949,96.71
myfnbhanot,Dealer-retail,DEALON02,Ontario,,0.929,93.82
myfnkalicharan,Dealer-retail,DEALON02,Ontario,,0.944,100
myfra,Dealer-retail,DEALON02,Ontario,,0.933,95.52
myfsallou,Dealer-retail,DEALON02,Ontario,,0.98,95.17
myfsk,Dealer-retail,DEALON02,Ontario,,0.933,84.92
myftbajwa,Dealer-retail,DEALON02,Ontario,,0.5,
myftbajwa1,Dealer-retail,DEALON02,Ontario,,0.923,98.72
myfzafzal,Dealer-retail,DEALON02,Ontario,,0.857,90.48
nabadir,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.978,91.84
naquino,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.975,91.17
nbaig,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.75,87.84
nbaig2,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,1,92.27
nbeheshtian,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.75,81.31
nbertram,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.95,85.26
nbond,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.966,97.69
nbrown2,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.818,97.99
nburgess,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.824,93.43
nchavarria,Care,Windsor,,,0.882,87.98
nchong,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.9,99.6
ndisho,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.882,91.04
ndwomo-donkor,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.941,96.49
nelumir,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.923,89.29
neskandari,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0,100
netingina,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.893,86.63
nfrancis,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.875,92.75
nfriday,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.941,92.86
nfuad,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.938,96.94
ngoad,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.875,80.77
ngoczan,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.846,92.74
nhasan,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.914,89.58
nholmes,Care,Windsor,,,0.926,90.42
nhonest,Care,Windsor,,,1,100
nhung,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0,88.35
nifggill1,Dealer-retail,DEALVA01,BC,,1,93.15
nifgphagura1,Dealer-retail,DEALVA01,BC,,0.909,88.52
nifrdhaliwal,Dealer-retail,DEALVA01,BC,,0.857,82.23
nifrgupta,Dealer-retail,DEALVA01,BC,,0.923,79.97
nifrkumar1nifrkumar2,Dealer-retail,DEALVA01,BC,,0.8,92.22
nifsbhullar,Dealer-retail,DEALVA01,BC,,1,80
nifybansal1,Dealer-retail,DEALVA01,BC,,1,80
njohansen,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.75,93.33
nkalaimathian,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,95.12
nlee,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.667,100
nmadha,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.889,95.24
nmasilya,Care,Windsor,,,1,96.95
nmazumdar,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.933,91.97
nmohamud,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.889,89.89
nmoreira,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.947,94.55
nnajih,Care,Windsor,,,0.844,88.11
nnokrek,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.933,90.89
nnunes,Care,Windsor,,,0.92,88.54
noegema,Care,Windsor,,,1,97.61
nopoku-ware,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.9,92.96
npereira,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0,60
nshrey,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.943,86.71
ntayan,Care,Windsor,,,0.692,82.58
numadas,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.667,89.2
nvijayananthan,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.9,91.11
nwhelan,Care,Windsor,,,0.944,90.74
oali,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.929,93.73
opetkovic,Care,Windsor,,,0.917,93.46
orehman,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.982,82.31
oshehada,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.875,97.5
osykes,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.923,99.29
othiab,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.938,90.6
oyusuf,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.949,78.26
pangelini,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.786,94.45
pazaritavana,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.733,94.81
pchong,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,1,96.67
pcrowe,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.923,99.32
pdewdney,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.962,88.04
pdupuis,Care,Windsor,,,1,100
pford,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.8,94.73
pfregapane,Care,Windsor,,,0.938,93.24
pgagne,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.947,91.04
pgill,Corp-retail,CORPON03-ON Central,Ontario,North York,0.917,96.98
pkarthigesan,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.929,95.72
plefort,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.931,85.69
pnalvarunendrarasa,Corp-retail,CORPON03-ON Central,Ontario,North York,0.929,96.77
pnghiem,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.786,97.55
ppapp,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.889,94.44
ppare,Care,Windsor,,,1,93.03
pperry,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.909,90.83
pquennesson,Care,Windsor,,,0.889,95.52
prussell,Corp-retail,CORPON03-ON Central,Ontario,North York,0.944,95.12
psahl,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.75,86.44
psivakumaran,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.889,81.66
psivakumaran2,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,1,91.58
ptsoi,Corp-retail,CORPON05-ON Southwest,Ontario,London,1,85.74
pwong,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.9,97.69
pwong2,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.939,92.22
qchaudhry,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.8,95.07
qmahmood,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.875,96.46
qrtdfrimpong,Dealer-retail,DEALON04,Ontario,,0.688,75.68
qrtenketiah1,Dealer-retail,DEALON04,Ontario,,0.833,83.33
qrtjakwaboah,Dealer-retail,DEALON04,Ontario,,0.625,79.61
qrtjakwaboah2,Dealer-retail,DEALON04,Ontario,,0.5,84.43
qrtnanyanwu,Dealer-retail,DEALON04,Ontario,,0.899,71.3
